"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Nebraska"	"31"	"5-9 years"	"5-9"	321	2256758	14.2
	"Nebraska"	"31"	"10-14 years"	"10-14"	399	2280161	17.5
	"Nebraska"	"31"	"15-19 years"	"15-19"	1420	2373532	59.8
	"Nebraska"	"31"	"20-24 years"	"20-24"	1801	2355466	76.5
	"Nebraska"	"31"	"25-34 years"	"25-34"	3568	4233771	84.3
	"Nebraska"	"31"	"35-44 years"	"35-44"	6626	4253194	155.8
	"Nebraska"	"31"	"45-54 years"	"45-54"	15219	4411478	345.0
	"Nebraska"	"31"	"55-64 years"	"55-64"	27259	3468723	785.9
	"Nebraska"	"31"	"65-74 years"	"65-74"	43193	2244728	1924.2
	"Nebraska"	"31"	"75-84 years"	"75-84"	75024	1513567	4956.8
	"Nebraska"	"31"	"85+ years"	"85+"	99869	679817	14690.6
	"Nevada"	"32"	"< 1 year"	"1"	3708	629155	589.4
	"Nevada"	"32"	"1-4 years"	"1-4"	773	2503132	30.9
	"Nevada"	"32"	"5-9 years"	"5-9"	398	3086043	12.9
	"Nevada"	"32"	"10-14 years"	"10-14"	556	3092286	18.0
	"Nevada"	"32"	"15-19 years"	"15-19"	1896	2909201	65.2
	"Nevada"	"32"	"20-24 years"	"20-24"	3091	2999837	103.0
	"Nevada"	"32"	"25-34 years"	"25-34"	7460	6609064	112.9
	"Nevada"	"32"	"35-44 years"	"35-44"	13717	6605220	207.7
	"Nevada"	"32"	"45-54 years"	"45-54"	29110	6210083	468.8
	"Nevada"	"32"	"55-64 years"	"55-64"	50547	5111301	988.9
	"Nevada"	"32"	"65-74 years"	"65-74"	72471	3377924	2145.4
	"Nevada"	"32"	"75-84 years"	"75-84"	89856	1678916	5352.0
	"Nevada"	"32"	"85+ years"	"85+"	71620	497031	14409.6
	"Nevada"	"32"	"Not Stated"	"NS"	79	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"< 1 year"	"1"	1174	246696	475.9
	"New Hampshire"	"33"	"1-4 years"	"1-4"	199	1037883	19.2
	"New Hampshire"	"33"	"5-9 years"	"5-9"	139	1426737	9.7
	"New Hampshire"	"33"	"10-14 years"	"10-14"	197	1578497	12.5
	"New Hampshire"	"33"	"15-19 years"	"15-19"	665	1657402	40.1
	"New Hampshire"	"33"	"20-24 years"	"20-24"	1193	1474461	80.9
	"New Hampshire"	"33"	"25-34 years"	"25-34"	2592	2722560	95.2
	"New Hampshire"	"33"	"35-44 years"	"35-44"	5033	3443723	146.1
	"New Hampshire"	"33"	"45-54 years"	"45-54"	11865	3757075	315.8
	"New Hampshire"	"33"	"55-64 years"	"55-64"	20861	2879242	724.5
	"New Hampshire"	"33"	"65-74 years"	"65-74"	31744	1723376	1842.0
	"New Hampshire"	"33"	"75-84 years"	"75-84"	50612	1009308	5014.5
	"New Hampshire"	"33"	"85+ years"	"85+"	61726	419297	14721.3
	"New Jersey"	"34"	"< 1 year"	"1"	10566	1943705	543.6
	"New Jersey"	"34"	"1-4 years"	"1-4"	1616	7926252	20.4
	"New Jersey"	"34"	"5-9 years"	"5-9"	1000	10252875	9.8
	"New Jersey"	"34"	"10-14 years"	"10-14"	1305	10676330	12.2
	"New Jersey"	"34"	"15-19 years"	"15-19"	4210	10337971	40.7
	"New Jersey"	"34"	"20-24 years"	"20-24"	8156	9493538	85.9
	"New Jersey"	"34"	"25-34 years"	"25-34"	19674	20436246	96.3
	"New Jersey"	"34"	"35-44 years"	"35-44"	37819	23457076	161.2
	"New Jersey"	"34"	"45-54 years"	"45-54"	82989	23291534	356.3
	"New Jersey"	"34"	"55-64 years"	"55-64"	136274	17547734	776.6
	"New Jersey"	"34"	"65-74 years"	"65-74"	207668	11138431	1864.4
	"New Jersey"	"34"	"75-84 years"	"75-84"	355005	7228023	4911.5
	"New Jersey"	"34"	"85+ years"	"85+"	425152	2994135	14199.5
	"New Jersey"	"34"	"Not Stated"	"NS"	142	Not Applicable	Not Applicable
	"New Mexico"	"35"	"< 1 year"	"1"	2980	493927	603.3
	"New Mexico"	"35"	"1-4 years"	"1-4"	712	1971630	36.1
	"New Mexico"	"35"	"5-9 years"	"5-9"	356	2480732	14.4
	"New Mexico"	"35"	"10-14 years"	"10-14"	560	2579281	21.7
	"New Mexico"	"35"	"15-19 years"	"15-19"	2135	2638418	80.9
	"New Mexico"	"35"	"20-24 years"	"20-24"	3329	2533323	131.4
	"New Mexico"	"35"	"25-34 years"	"25-34"	7554	4592257	164.5
	"New Mexico"	"35"	"35-44 years"	"35-44"	12289	4643372	264.7
	"New Mexico"	"35"	"45-54 years"	"45-54"	23034	4871319	472.8
	"New Mexico"	"35"	"55-64 years"	"55-64"	34932	4055166	861.4
	"New Mexico"	"35"	"65-74 years"	"65-74"	48577	2669707	1819.6
	"New Mexico"	"35"	"75-84 years"	"75-84"	70835	1507822	4697.8
	"New Mexico"	"35"	"85+ years"	"85+"	74242	540779	13728.7
	"New Mexico"	"35"	"Not Stated"	"NS"	78	Not Applicable	Not Applicable
	"New York"	"36"	"< 1 year"	"1"	24369	4325347	563.4
	"New York"	"36"	"1-4 years"	"1-4"	3851	16995816	22.7
	"New York"	"36"	"5-9 years"	"5-9"	2490	21647537	11.5
	"New York"	"36"	"10-14 years"	"10-14"	3044	22725441	13.4
	"New York"	"36"	"15-19 years"	"15-19"	9609	23787163	40.4
	"New York"	"36"	"20-24 years"	"20-24"	17007	24410609	69.7
	"New York"	"36"	"25-34 years"	"25-34"	40189	48722630	82.5
	"New York"	"36"	"35-44 years"	"35-44"	78989	49838145	158.5
	"New York"	"36"	"45-54 years"	"45-54"	180004	49472727	363.8
	"New York"	"36"	"55-64 years"	"55-64"	303956	38575589	787.9
	"New York"	"36"	"65-74 years"	"65-74"	452172	24760803	1826.2
	"New York"	"36"	"75-84 years"	"75-84"	729819	15780610	4624.8
	"New York"	"36"	"85+ years"	"85+"	895771	6658920	13452.2
	"New York"	"36"	"Not Stated"	"NS"	308	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	17430	2158206	807.6
	"North Carolina"	"37"	"1-4 years"	"1-4"	2538	8566811	29.6
	"North Carolina"	"37"	"5-9 years"	"5-9"	1600	10832895	14.8
	"North Carolina"	"37"	"10-14 years"	"10-14"	1941	11031789	17.6
	"North Carolina"	"37"	"15-19 years"	"15-19"	6987	11166342	62.6
	"North Carolina"	"37"	"20-24 years"	"20-24"	11451	11457669	99.9
	"North Carolina"	"37"	"25-34 years"	"25-34"	25931	22260557	116.5
	"North Carolina"	"37"	"35-44 years"	"35-44"	48053	23572474	203.9
	"North Carolina"	"37"	"45-54 years"	"45-54"	105889	22957732	461.2
	"North Carolina"	"37"	"55-64 years"	"55-64"	179408	18443471	972.7
	"North Carolina"	"37"	"65-74 years"	"65-74"	262609	12143532	2162.5
	"North Carolina"	"37"	"75-84 years"	"75-84"	367921	6846609	5373.8
	"North Carolina"	"37"	"85+ years"	"85+"	367118	2462876	14906.1
	"North Carolina"	"37"	"Not Stated"	"NS"	137	Not Applicable	Not Applicable
	"North Dakota"	"38"	"< 1 year"	"1"	1070	161853	661.1
	"North Dakota"	"38"	"1-4 years"	"1-4"	162	624868	25.9
	"North Dakota"	"38"	"5-9 years"	"5-9"	103	760933	13.5
	"North Dakota"	"38"	"10-14 years"	"10-14"	133	775504	17.2
	"North Dakota"	"38"	"15-19 years"	"15-19"	604	909361	66.4
	"North Dakota"	"38"	"20-24 years"	"20-24"	828	1090565	75.9
	"North Dakota"	"38"	"25-34 years"	"25-34"	1605	1572783	102.0
	"North Dakota"	"38"	"35-44 years"	"35-44"	2580	1512503	170.6
	"North Dakota"	"38"	"45-54 years"	"45-54"	5725	1661321	344.6
	"North Dakota"	"38"	"55-64 years"	"55-64"	10009	1324904	755.5
	"North Dakota"	"38"	"65-74 years"	"65-74"	15948	861658	1850.9
	"North Dakota"	"38"	"75-84 years"	"75-84"	28163	607290	4637.5
	"North Dakota"	"38"	"85+ years"	"85+"	40446	293402	13785.2
	"Ohio"	"39"	"< 1 year"	"1"	20085	2582582	777.7
	"Ohio"	"39"	"1-4 years"	"1-4"	3092	10463812	29.5
	"Ohio"	"39"	"5-9 years"	"5-9"	1771	13641161	13.0
	"Ohio"	"39"	"10-14 years"	"10-14"	2296	14306644	16.0
	"Ohio"	"39"	"15-19 years"	"15-19"	7736	14587884	53.0
	"Ohio"	"39"	"20-24 years"	"20-24"	12447	13814655	90.1
	"Ohio"	"39"	"25-34 years"	"25-34"	30622	26184986	116.9
	"Ohio"	"39"	"35-44 years"	"35-44"	57329	28364391	202.1
	"Ohio"	"39"	"45-54 years"	"45-54"	135098	29920223	451.5
	"Ohio"	"39"	"55-64 years"	"55-64"	231734	23856441	971.4
	"Ohio"	"39"	"65-74 years"	"65-74"	347565	15422312	2253.7
	"Ohio"	"39"	"75-84 years"	"75-84"	548662	9866933	5560.6
	"Ohio"	"39"	"85+ years"	"85+"	588865	3864250	15238.8
	"Oklahoma"	"40"	"< 1 year"	"1"	7324	923553	793.0
	"Oklahoma"	"40"	"1-4 years"	"1-4"	1499	3641952	41.2
	"Oklahoma"	"40"	"5-9 years"	"5-9"	866	4529077	19.1
	"Oklahoma"	"40"	"10-14 years"	"10-14"	1005	4581340	21.9
	"Oklahoma"	"40"	"15-19 years"	"15-19"	3649	4733500	77.1
	"Oklahoma"	"40"	"20-24 years"	"20-24"	5310	4905308	108.3
	"Oklahoma"	"40"	"25-34 years"	"25-34"	12437	8763897	141.9
	"Oklahoma"	"40"	"35-44 years"	"35-44"	22332	8680792	257.3
	"Oklahoma"	"40"	"45-54 years"	"45-54"	49962	8892600	561.8
	"Oklahoma"	"40"	"55-64 years"	"55-64"	85652	7306052	1172.3
	"Oklahoma"	"40"	"65-74 years"	"65-74"	121542	4946989	2456.9
	"Oklahoma"	"40"	"75-84 years"	"75-84"	172363	2954059	5834.8
	"Oklahoma"	"40"	"85+ years"	"85+"	172576	1094139	15772.8
	"Oklahoma"	"40"	"Not Stated"	"NS"	24	Not Applicable	Not Applicable
	"Oregon"	"41"	"< 1 year"	"1"	4403	823985	534.4
	"Oregon"	"41"	"1-4 years"	"1-4"	828	3318173	25.0
	"Oregon"	"41"	"5-9 years"	"5-9"	529	4221508	12.5
	"Oregon"	"41"	"10-14 years"	"10-14"	686	4368436	15.7
	"Oregon"	"41"	"15-19 years"	"15-19"	2189	4490981	48.7
	"Oregon"	"41"	"20-24 years"	"20-24"	3553	4552404	78.0
	"Oregon"	"41"	"25-34 years"	"25-34"	8070	9145586	88.2
	"Oregon"	"41"	"35-44 years"	"35-44"	15272	9209985	165.8
	"Oregon"	"41"	"45-54 years"	"45-54"	37087	9525869	389.3
	"Oregon"	"41"	"55-64 years"	"55-64"	66530	8037012	827.8
	"Oregon"	"41"	"65-74 years"	"65-74"	96646	5078489	1903.0
	"Oregon"	"41"	"75-84 years"	"75-84"	152375	3042224	5008.7
	"Oregon"	"41"	"85+ years"	"85+"	187784	1293180	14521.1
	"Oregon"	"41"	"Not Stated"	"NS"	11	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"< 1 year"	"1"	18290	2572396	711.0
	"Pennsylvania"	"42"	"1-4 years"	"1-4"	2737	10431141	26.2
	"Pennsylvania"	"42"	"5-9 years"	"5-9"	1753	13726581	12.8
	"Pennsylvania"	"42"	"10-14 years"	"10-14"	2206	14739753	15.0
	"Pennsylvania"	"42"	"15-19 years"	"15-19"	8725	15774935	55.3
	"Pennsylvania"	"42"	"20-24 years"	"20-24"	15348	14958514	102.6
	"Pennsylvania"	"42"	"25-34 years"	"25-34"	32770	27740914	118.1
	"Pennsylvania"	"42"	"35-44 years"	"35-44"	59178	30763470	192.4
	"Pennsylvania"	"42"	"45-54 years"	"45-54"	136990	33103646	413.8
	"Pennsylvania"	"42"	"55-64 years"	"55-64"	238574	26714360	893.1
	"Pennsylvania"	"42"	"65-74 years"	"65-74"	376351	18015718	2089.0
	"Pennsylvania"	"42"	"75-84 years"	"75-84"	656610	12439257	5278.5
	"Pennsylvania"	"42"	"85+ years"	"85+"	764078	5149994	14836.5
	"Pennsylvania"	"42"	"Not Stated"	"NS"	273	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"< 1 year"	"1"	1335	210028	635.6
	"Rhode Island"	"44"	"1-4 years"	"1-4"	156	858687	18.2
	"Rhode Island"	"44"	"5-9 years"	"5-9"	127	1136057	11.2
	"Rhode Island"	"44"	"10-14 years"	"10-14"	154	1206406	12.8
	"Rhode Island"	"44"	"15-19 years"	"15-19"	516	1403624	36.8
	"Rhode Island"	"44"	"20-24 years"	"20-24"	872	1421134	61.4
	"Rhode Island"	"44"	"25-34 years"	"25-34"	2124	2417801	87.8
	"Rhode Island"	"44"	"35-44 years"	"35-44"	4410	2658779	165.9
	"Rhode Island"	"44"	"45-54 years"	"45-54"	10242	2776296	368.9
	"Rhode Island"	"44"	"55-64 years"	"55-64"	17320	2153410	804.3
	"Rhode Island"	"44"	"65-74 years"	"65-74"	26078	1370915	1902.2
	"Rhode Island"	"44"	"75-84 years"	"75-84"	48136	968171	4971.8
	"Rhode Island"	"44"	"85+ years"	"85+"	64847	450912	14381.3
	"Rhode Island"	"44"	"Not Stated"	"NS"	20	Not Applicable	Not Applicable
	"South Carolina"	"45"	"< 1 year"	"1"	8442	1034651	815.9
	"South Carolina"	"45"	"1-4 years"	"1-4"	1362	4103969	33.2
	"South Carolina"	"45"	"5-9 years"	"5-9"	848	5216222	16.3
	"South Carolina"	"45"	"10-14 years"	"10-14"	1094	5379025	20.3
	"South Carolina"	"45"	"15-19 years"	"15-19"	4030	5645403	71.4
	"South Carolina"	"45"	"20-24 years"	"20-24"	6457	5744670	112.4
	"South Carolina"	"45"	"25-34 years"	"25-34"	14829	10529144	140.8
	"South Carolina"	"45"	"35-44 years"	"35-44"	27302	10956986	249.2
	"South Carolina"	"45"	"45-54 years"	"45-54"	61107	11178262	546.7
	"South Carolina"	"45"	"55-64 years"	"55-64"	102786	9431730	1089.8
	"South Carolina"	"45"	"65-74 years"	"65-74"	141607	6380183	2219.5
	"South Carolina"	"45"	"75-84 years"	"75-84"	187061	3411432	5483.4
	"South Carolina"	"45"	"85+ years"	"85+"	175639	1171038	14998.6
	"South Carolina"	"45"	"Not Stated"	"NS"	66	Not Applicable	Not Applicable
	"South Dakota"	"46"	"< 1 year"	"1"	1453	205398	707.4
	"South Dakota"	"46"	"1-4 years"	"1-4"	295	807202	36.5
	"South Dakota"	"46"	"5-9 years"	"5-9"	204	997171	20.5
	"South Dakota"	"46"	"10-14 years"	"10-14"	265	1010128	26.2
	"South Dakota"	"46"	"15-19 years"	"15-19"	862	1071105	80.5
	"South Dakota"	"46"	"20-24 years"	"20-24"	1034	1045176	98.9
	"South Dakota"	"46"	"25-34 years"	"25-34"	2001	1797400	111.3
	"South Dakota"	"46"	"35-44 years"	"35-44"	3374	1821777	185.2
	"South Dakota"	"46"	"45-54 years"	"45-54"	7306	1963734	372.0
	"South Dakota"	"46"	"55-64 years"	"55-64"	12559	1591948	788.9
	"South Dakota"	"46"	"65-74 years"	"65-74"	19408	1047671	1852.5
	"South Dakota"	"46"	"75-84 years"	"75-84"	33545	715483	4688.4
	"South Dakota"	"46"	"85+ years"	"85+"	46385	333395	13912.9
	"Tennessee"	"47"	"< 1 year"	"1"	11755	1425848	824.4
	"Tennessee"	"47"	"1-4 years"	"1-4"	1877	5686782	33.0
	"Tennessee"	"47"	"5-9 years"	"5-9"	1090	7258423	15.0
	"Tennessee"	"47"	"10-14 years"	"10-14"	1464	7454206	19.6
	"Tennessee"	"47"	"15-19 years"	"15-19"	5474	7489153	73.1
	"Tennessee"	"47"	"20-24 years"	"20-24"	8642	7653781	112.9
	"Tennessee"	"47"	"25-34 years"	"25-34"	21047	14859899	141.6
	"Tennessee"	"47"	"35-44 years"	"35-44"	39967	15614638	256.0
	"Tennessee"	"47"	"45-54 years"	"45-54"	87108	15725033	553.9
	"Tennessee"	"47"	"55-64 years"	"55-64"	144614	12840479	1126.2
	"Tennessee"	"47"	"65-74 years"	"65-74"	202505	8461530	2393.2
	"Tennessee"	"47"	"75-84 years"	"75-84"	273721	4747353	5765.8
	"Tennessee"	"47"	"85+ years"	"85+"	267461	1708951	15650.6
	"Tennessee"	"47"	"Not Stated"	"NS"	47	Not Applicable	Not Applicable
	"Texas"	"48"	"< 1 year"	"1"	42088	6767887	621.9
	"Texas"	"48"	"1-4 years"	"1-4"	8337	26571119	31.4
	"Texas"	"48"	"5-9 years"	"5-9"	4680	32628078	14.3
	"Texas"	"48"	"10-14 years"	"10-14"	5673	32831630	17.3
	"Texas"	"48"	"15-19 years"	"15-19"	19092	32425248	58.9
	"Texas"	"48"	"20-24 years"	"20-24"	29873	32229550	92.7
	"Texas"	"48"	"25-34 years"	"25-34"	65632	63289449	103.7
	"Texas"	"48"	"35-44 years"	"35-44"	113474	62048744	182.9
	"Texas"	"48"	"45-54 years"	"45-54"	241059	57127371	422.0
	"Texas"	"48"	"55-64 years"	"55-64"	391150	42063542	929.9
	"Texas"	"48"	"65-74 years"	"65-74"	531878	25769484	2064.0
	"Texas"	"48"	"75-84 years"	"75-84"	752802	14488389	5195.9
	"Texas"	"48"	"85+ years"	"85+"	763179	5259052	14511.7
	"Texas"	"48"	"Not Stated"	"NS"	310	Not Applicable	Not Applicable
	"Utah"	"49"	"< 1 year"	"1"	4657	891608	522.3
	"Utah"	"49"	"1-4 years"	"1-4"	932	3460321	26.9
	"Utah"	"49"	"5-9 years"	"5-9"	532	4125212	12.9
	"Utah"	"49"	"10-14 years"	"10-14"	641	3925606	16.3
	"Utah"	"49"	"15-19 years"	"15-19"	2103	3933537	53.5
	"Utah"	"49"	"20-24 years"	"20-24"	3258	4276420	76.2
	"Utah"	"49"	"25-34 years"	"25-34"	7543	7211530	104.6
	"Utah"	"49"	"35-44 years"	"35-44"	10125	5952295	170.1
	"Utah"	"49"	"45-54 years"	"45-54"	17876	5150953	347.0
	"Utah"	"49"	"55-64 years"	"55-64"	27723	3864801	717.3
	"Utah"	"49"	"65-74 years"	"65-74"	39826	2390603	1665.9
	"Utah"	"49"	"75-84 years"	"75-84"	67115	1402511	4785.3
	"Utah"	"49"	"85+ years"	"85+"	78155	511062	15292.7
	"Utah"	"49"	"Not Stated"	"NS"	24	Not Applicable	Not Applicable
	"Vermont"	"50"	"< 1 year"	"1"	563	112237	501.6
	"Vermont"	"50"	"1-4 years"	"1-4"	88	468366	18.8
	"Vermont"	"50"	"5-9 years"	"5-9"	70	643129	10.9
	"Vermont"	"50"	"10-14 years"	"10-14"	111	722282	15.4
	"Vermont"	"50"	"15-19 years"	"15-19"	398	837983	47.5
	"Vermont"	"50"	"20-24 years"	"20-24"	595	776748	76.6
	"Vermont"	"50"	"25-34 years"	"25-34"	1204	1269871	94.8
	"Vermont"	"50"	"35-44 years"	"35-44"	2288	1535223	149.0
	"Vermont"	"50"	"45-54 years"	"45-54"	5736	1759327	326.0
	"Vermont"	"50"	"55-64 years"	"55-64"	10282	1443066	712.5
	"Vermont"	"50"	"65-74 years"	"65-74"	16174	878853	1840.4
	"Vermont"	"50"	"75-84 years"	"75-84"	25797	515599	5003.3
	"Vermont"	"50"	"85+ years"	"85+"	32137	216546	14840.7
	"Virginia"	"51"	"< 1 year"	"1"	12787	1804558	708.6
	"Virginia"	"51"	"1-4 years"	"1-4"	1826	7145484	25.6
	"Virginia"	"51"	"5-9 years"	"5-9"	1091	8985289	12.1
	"Virginia"	"51"	"10-14 years"	"10-14"	1368	9253359	14.8
	"Virginia"	"51"	"15-19 years"	"15-19"	4979	9542866	52.2
	"Virginia"	"51"	"20-24 years"	"20-24"	8201	9958441	82.4
	"Virginia"	"51"	"25-34 years"	"25-34"	18149	19368715	93.7
	"Virginia"	"51"	"35-44 years"	"35-44"	34525	20549781	168.0
	"Virginia"	"51"	"45-54 years"	"45-54"	78025	20431369	381.9
	"Virginia"	"51"	"55-64 years"	"55-64"	133183	15665146	850.2
	"Virginia"	"51"	"65-74 years"	"65-74"	194275	9636628	2016.0
	"Virginia"	"51"	"75-84 years"	"75-84"	284639	5457192	5215.9
	"Virginia"	"51"	"85+ years"	"85+"	298092	2031477	14673.7
	"Virginia"	"51"	"Not Stated"	"NS"	57	Not Applicable	Not Applicable
	"Washington"	"53"	"< 1 year"	"1"	7672	1528862	501.8
	"Washington"	"53"	"1-4 years"	"1-4"	1356	6072501	22.3
	"Washington"	"53"	"5-9 years"	"5-9"	879	7676180	11.5
	"Washington"	"53"	"10-14 years"	"10-14"	1098	7901552	13.9
	"Washington"	"53"	"15-19 years"	"15-19"	3971	8014222	49.5
	"Washington"	"53"	"20-24 years"	"20-24"	6205	8166700	76.0
	"Washington"	"53"	"25-34 years"	"25-34"	13839	16412104	84.3
	"Washington"	"53"	"35-44 years"	"35-44"	25032	16821525	148.8
	"Washington"	"53"	"45-54 years"	"45-54"	58707	16894499	347.5
	"Washington"	"53"	"55-64 years"	"55-64"	101889	13307754	765.6
	"Washington"	"53"	"65-74 years"	"65-74"	144889	7942407	1824.2
	"Washington"	"53"	"75-84 years"	"75-84"	225335	4612375	4885.4
	"Washington"	"53"	"85+ years"	"85+"	274797	1938915	14172.7
	"Washington"	"53"	"Not Stated"	"NS"	19	Not Applicable	Not Applicable
	"West Virginia"	"54"	"< 1 year"	"1"	2798	373318	749.5
	"West Virginia"	"54"	"1-4 years"	"1-4"	505	1480678	34.1
	"West Virginia"	"54"	"5-9 years"	"5-9"	337	1903002	17.7
	"West Virginia"	"54"	"10-14 years"	"10-14"	426	2001881	21.3
	"West Virginia"	"54"	"15-19 years"	"15-19"	1560	2133740	73.1
	"West Virginia"	"54"	"20-24 years"	"20-24"	2603	2184640	119.2
	"West Virginia"	"54"	"25-34 years"	"25-34"	6591	3991321	165.1
	"West Virginia"	"54"	"35-44 years"	"35-44"	12571	4412125	284.9
	"West Virginia"	"54"	"45-54 years"	"45-54"	27161	4866231	558.2
	"West Virginia"	"54"	"55-64 years"	"55-64"	48565	4273230	1136.5
	"West Virginia"	"54"	"65-74 years"	"65-74"	73915	2939699	2514.4
	"West Virginia"	"54"	"75-84 years"	"75-84"	107300	1779420	6030.1
	"West Virginia"	"54"	"85+ years"	"85+"	101958	625453	16301.5
	"Wisconsin"	"55"	"< 1 year"	"1"	7909	1237057	639.3
	"Wisconsin"	"55"	"1-4 years"	"1-4"	1289	5021160	25.7
	"Wisconsin"	"55"	"5-9 years"	"5-9"	830	6581940	12.6
	"Wisconsin"	"55"	"10-14 years"	"10-14"	1082	6948165	15.6
	"Wisconsin"	"55"	"15-19 years"	"15-19"	3958	7254278	54.6
	"Wisconsin"	"55"	"20-24 years"	"20-24"	5802	7002449	82.9
	"Wisconsin"	"55"	"25-34 years"	"25-34"	11819	12718334	92.9
	"Wisconsin"	"55"	"35-44 years"	"35-44"	21651	13946680	155.2
	"Wisconsin"	"55"	"45-54 years"	"45-54"	50420	14721249	342.5
	"Wisconsin"	"55"	"55-64 years"	"55-64"	88371	11405986	774.8
	"Wisconsin"	"55"	"65-74 years"	"65-74"	135863	7221632	1881.3
	"Wisconsin"	"55"	"75-84 years"	"75-84"	230047	4676737	4919.0
	"Wisconsin"	"55"	"85+ years"	"85+"	298588	2021389	14771.4
	"Wyoming"	"56"	"< 1 year"	"1"	826	130017	635.3
	"Wyoming"	"56"	"1-4 years"	"1-4"	175	515815	33.9
	"Wyoming"	"56"	"5-9 years"	"5-9"	125	646074	19.3
	"Wyoming"	"56"	"10-14 years"	"10-14"	140	659720	21.2
	"Wyoming"	"56"	"15-19 years"	"15-19"	572	701523	81.5
	"Wyoming"	"56"	"20-24 years"	"20-24"	845	716249	118.0
	"Wyoming"	"56"	"25-34 years"	"25-34"	1772	1267203	139.8
	"Wyoming"	"56"	"35-44 years"	"35-44"	2730	1264772	215.8
	"Wyoming"	"56"	"45-54 years"	"45-54"	5904	1419968	415.8
	"Wyoming"	"56"	"55-64 years"	"55-64"	9492	1165986	814.1
	"Wyoming"	"56"	"65-74 years"	"65-74"	13696	691861	1979.6
	"Wyoming"	"56"	"75-84 years"	"75-84"	19846	388755	5105.0
	"Wyoming"	"56"	"85+ years"	"85+"	21341	148944	14328.2
